id,name,definition,aspect
GO:0070254,mucus secretion,"The regulated release of mucus by the mucosa. Mucus is a viscous slimy secretion consisting of mucins and various inorganic salts dissolved in water, with suspended epithelial cells and leukocytes. The mucosa, or mucous membrane, is the membrane covered with epithelium that lines the tubular organs of the body. Mucins are carbohydrate-rich glycoproteins that have a lubricating and protective function.",biological_process
GO:0008239,dipeptidyl-peptidase activity,Catalysis of the hydrolysis of N-terminal dipeptides from a polypeptide chain.,molecular_function
GO:0008253,5'-nucleotidase activity,Catalysis of the reaction: a 5'-ribonucleotide + H2O = a ribonucleoside + phosphate.,molecular_function
GO:0004931,extracellularly ATP-gated cation channel activity,Enables the transmembrane transfer of a cation by a channel that opens when ATP is bound by the channel complex or one of its constituent parts on the extracellular side of the plasma membrane.,molecular_function
GO:0004930,G protein-coupled receptor activity,Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.,molecular_function
GO:0004672,protein kinase activity,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",molecular_function
GO:0004683,calmodulin-dependent protein kinase activity,Catalysis of the reactions: ATP + a protein serine = ADP + protein serine phosphate; and ATP + a protein threonine = ADP + protein threonine phosphate. These reactions require the presence of calcium-bound calmodulin.,molecular_function
GO:0051014,actin filament severing,The process in which an actin filament is broken down into smaller filaments.,biological_process
GO:0060070,canonical Wnt signaling pathway,"The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes. In this pathway, the activated receptor signals via downstream effectors that result in the inhibition of beta-catenin phosphorylation, thereby preventing degradation of beta-catenin. Stabilized beta-catenin can then accumulate and travel to the nucleus to trigger changes in transcription of target genes.",biological_process
GO:0001540,amyloid-beta binding,Interacting selectively and non-covalently with amyloid-beta peptide/protein and/or its precursor.,molecular_function
GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste,The series of events required for a bitter taste stimulus to be received and converted to a molecular signal.,biological_process
GO:0060080,inhibitory postsynaptic potential,A process that causes a temporary decrease in postsynaptic membrane potential due to the flow of negatively charged ions into the postsynaptic cell. The flow of ions that causes an IPSP is an inhibitory postsynaptic current (IPSC) and makes it more difficult for the neuron to fire an action potential.,biological_process
GO:0008131,primary amine oxidase activity,Catalysis of the reaction: a primary amine + H2O + O2 = an aldehyde + NH3 + hydrogen peroxide.,molecular_function
GO:0060314,regulation of ryanodine-sensitive calcium-release channel activity,Any process that modulates the activity of a ryanodine-sensitive calcium-release channel. The ryanodine-sensitive calcium-release channel catalyzes the transmembrane transfer of a calcium ion by a channel that opens when a ryanodine class ligand has been bound by the channel complex or one of its constituent parts.,biological_process
GO:0001964,startle response,An action or movement due to the application of a sudden unexpected stimulus.,biological_process
GO:0001972,retinoic acid binding,"Interacting selectively and non-covalently with retinoic acid, 3,7-dimethyl-9-(2,6,-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid.",molecular_function
GO:0008865,fructokinase activity,Catalysis of the reaction: ATP + D-fructose = ADP + D-fructose 6-phosphate.,molecular_function
GO:0033823,procollagen glucosyltransferase activity,"Catalysis of the reaction: UDP-glucose + 5-(D-galactosyloxy)-L-lysine-procollagen = UDP + 1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen.",molecular_function
GO:0006198,cAMP catabolic process,"The chemical reactions and pathways resulting in the breakdown of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate).",biological_process
GO:0008021,synaptic vesicle,"A secretory organelle, typically 50 nm in diameter, of presynaptic nerve terminals; accumulates in high concentrations of neurotransmitters and secretes these into the synaptic cleft by fusion with the 'active zone' of the presynaptic plasma membrane.",cellular_component
GO:0045026,plasma membrane fusion,"The joining of the lipid bilayer membrane that surround a cell with that of another cell, producing a single cell.",biological_process
GO:0033038,bitter taste receptor activity,Combining with soluble bitter compounds to initiate a change in cell activity. These receptors are responsible for the sense of bitter taste.,molecular_function
GO:0060271,cilium assembly,"The assembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole.",biological_process
GO:0003934,GTP cyclohydrolase I activity,"Catalysis of the reaction: GTP + H2O = formate + 7,8-dihydroneopterin 3'-triphosphate.",molecular_function
GO:0003904,deoxyribodipyrimidine photo-lyase activity,Catalysis of the reaction: cyclobutadipyrimidine (in DNA) = 2 pyrimidine residues (in DNA). This reaction represents the reactivation of irradiated DNA by light.,molecular_function
GO:0003914,DNA (6-4) photolyase activity,Catalysis of the reaction: pyrimidine-pyrimidone (6-4) photoproduct (in DNA) = 2 pyrimidine residues (in DNA). Catalyzes the reactivation of ultraviolet-irradiated DNA.,molecular_function
GO:0003991,acetylglutamate kinase activity,Catalysis of the reaction: ATP + N-acetyl-L-glutamate = ADP + N-acetyl-L-glutamate-5-phosphate.,molecular_function
GO:0050431,transforming growth factor beta binding,"Interacting selectively and non-covalently with TGF-beta, transforming growth factor beta, a multifunctional peptide that controls proliferation, differentiation and other functions in many cell types.",molecular_function
GO:1904659,glucose transmembrane transport,The process in which glucose is transported across a membrane.,biological_process
GO:0003796,lysozyme activity,Catalysis of the hydrolysis of the beta-(1->4) linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan.,molecular_function
GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","Catalysis of the reaction: UDP-glucose + D-glucose-6-phosphate = UDP + alpha,alpha-trehalose-6-phosphate.",molecular_function
GO:0003876,AMP deaminase activity,Catalysis of the reaction: AMP + H2O = IMP + NH3.,molecular_function
GO:0010294,abscisic acid glucosyltransferase activity,Catalysis of the reaction: (+)-abscisate + UDP-D-glucose = abscisic acid glucose ester + UDP.,molecular_function
GO:0071044,histone mRNA catabolic process,The chemical reactions and pathways resulting in the breakdown of histone messenger RNA (mRNA).,biological_process
GO:0010039,response to iron ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus.",biological_process
GO:0000902,cell morphogenesis,The developmental process in which the size or shape of a cell is generated and organized.,biological_process
GO:0000293,ferric-chelate reductase activity,Catalysis of the reaction: 2 Fe2+ + NAD+ = 2 Fe3+ + NADH + H(+).,molecular_function
GO:0007019,microtubule depolymerization,The removal of tubulin heterodimers from one or both ends of a microtubule.,biological_process
GO:0019005,SCF ubiquitin ligase complex,"A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).",cellular_component
GO:0009651,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",biological_process
GO:0007031,peroxisome organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a peroxisome. A peroxisome is a small, membrane-bounded organelle that uses dioxygen (O2) to oxidize organic molecules.",biological_process
GO:0007179,transforming growth factor beta receptor signaling pathway,"A series of molecular signals initiated by the binding of an extracellular ligand to a transforming growth factor beta receptor on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription.",biological_process
GO:0032154,cleavage furrow,The cleavage furrow is a plasma membrane invagination at the cell division site. The cleavage furrow begins as a shallow groove and eventually deepens to divide the cytoplasm.,cellular_component
GO:0009438,methylglyoxal metabolic process,"The chemical reactions and pathways involving methylglyoxal, CH3-CO-CHO, the aldehyde of pyruvic acid.",biological_process
GO:0009408,response to heat,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.",biological_process
GO:0046920,alpha-(1->3)-fucosyltransferase activity,Catalysis of the transfer of an L-fucosyl group from GDP-beta-L-fucose to an acceptor molecule to form an alpha-(1->3) linkage.,molecular_function
GO:0009986,cell surface,The external part of the cell wall and/or plasma membrane.,cellular_component
GO:0046934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity","Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ATP = a 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate + ADP + 2 H(+).",molecular_function
GO:1900865,chloroplast RNA modification,Any RNA modification that takes place in chloroplast.,biological_process
GO:0004879,nuclear receptor activity,Combining with a signal and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence in order to modulate transcription by RNA polymerase II.,molecular_function
GO:0004882,nuclear receptor activity,Combining with a signal and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence in order to modulate transcription by RNA polymerase II.,molecular_function
